name,version,ecosystem,license_declared,license_resolved,description,risk_classification,depended_on_by
idna_adapter,1.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,IDNA adapter for URL processing,PERMISSIVE - OK,52
lazy_static,1.5.0,Rust,NOASSERTION,MIT OR Apache-2.0,Lazily initialized static variables,PERMISSIVE - OK,52
toml_edit,0.20.2,Rust,NOASSERTION,MIT OR Apache-2.0,Format-preserving TOML editor,PERMISSIVE - OK,51
futures-executor,0.3.31,Rust,NOASSERTION,MIT OR Apache-2.0,Executor for running futures,PERMISSIVE - OK,50
idna,1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,Internationalized domain name processing,PERMISSIVE - OK,50
http,0.2.12,Rust,NOASSERTION,MIT OR Apache-2.0,"HTTP types (request, response, headers)",PERMISSIVE - OK,49
itertools,0.14.0,Rust,NOASSERTION,MIT OR Apache-2.0,Extra iterator adaptors and methods,PERMISSIVE - OK,49
phf_shared,0.10.0,Rust,NOASSERTION,MIT,Shared code for perfect hash function maps,PERMISSIVE - OK,49
url,2.5.8,Rust,NOASSERTION,MIT OR Apache-2.0,URL parser (WHATWG standard),PERMISSIVE - OK,48
packaging,26,Python,NOASSERTION,Apache-2.0 OR BSD-2-Clause,Python package version utilities,PERMISSIVE - OK,47
num-integer,0.1.46,Rust,NOASSERTION,MIT OR Apache-2.0,Integer trait extensions and algorithms,PERMISSIVE - OK,46
idna,3.11,Python,NOASSERTION,BSD-3-Clause,Internationalized domain names support,PERMISSIVE - OK,44
nom,7.1.3,Rust,NOASSERTION,MIT,Parser combinator framework,PERMISSIVE - OK,44
rustc_version,0.4.1,Rust,NOASSERTION,MIT OR Apache-2.0,Query rustc compiler version,PERMISSIVE - OK,43
simd-adler32,0.3.8,Rust,NOASSERTION,MIT,SIMD-accelerated Adler-32 checksum,PERMISSIVE - OK,43
num-conv,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Numeric type conversions,PERMISSIVE - OK,42
phf_generator,0.8.0,Rust,NOASSERTION,MIT,Perfect hash function generator,PERMISSIVE - OK,42
proc-macro-crate,2.0.2,Rust,NOASSERTION,MIT OR Apache-2.0,Find crate names from proc-macros,PERMISSIVE - OK,42
iana-time-zone,0.1.65,Rust,NOASSERTION,MIT OR Apache-2.0,System IANA timezone detection,PERMISSIVE - OK,41
certifi,2026.2.25,Python,NOASSERTION,MPL-2.0,Mozilla CA certificate bundle for Python,WEAK COPYLEFT (MPL) - file-level copyleft only,40
libloading,0.8.9,Rust,NOASSERTION,ISC,Dynamic library loading (dlopen/LoadLibrary),PERMISSIVE - OK,40
powerfmt,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Power formatting utilities,PERMISSIVE - OK,40
pyyaml,6.0.3,Python,NOASSERTION,MIT,YAML parser and emitter for Python,PERMISSIVE - OK,40
strsim,0.11.1,Rust,NOASSERTION,MIT,"String similarity metrics (Levenshtein, etc.)",PERMISSIVE - OK,40
deranged,0.5.6,Rust,NOASSERTION,MIT OR Apache-2.0,Ranged integer types,PERMISSIVE - OK,39
icu_locale_core,2.1.1,Rust,NOASSERTION,Unicode-3.0,Locale data types for ICU4X,PERMISSIVE - OK,39
potential_utf,0.1.4,Rust,NOASSERTION,MIT OR Apache-2.0,Potentially-valid UTF-8/16 types,PERMISSIVE - OK,39
time-macros,0.2.27,Rust,NOASSERTION,MIT OR Apache-2.0,Proc-macros for the time crate,PERMISSIVE - OK,39
uuid,1.20.0,Rust,NOASSERTION,MIT OR Apache-2.0,UUID generation and parsing,PERMISSIVE - OK,39
zerotrie,0.2.3,Rust,NOASSERTION,Unicode-3.0,Zero-copy trie for ICU4X,PERMISSIVE - OK,39
target-lexicon,0.12.16,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,Target triple parsing,PERMISSIVE - OK,38
urllib3,2.6.3,Python,NOASSERTION,MIT,HTTP client library with connection pooling,PERMISSIVE - OK,38
android_system_properties,0.1.5,Rust,NOASSERTION,MIT OR Apache-2.0,Android system property access,PERMISSIVE - OK,37
cfg-expr,0.15.8,Rust,NOASSERTION,MIT OR Apache-2.0,Cfg expression parser/evaluator,PERMISSIVE - OK,37
rustls-pki-types,1.14.0,Rust,NOASSERTION,MIT OR Apache-2.0,PKI types for Rustls TLS,PERMISSIVE - OK,37
version-compare,0.2.0,Rust,NOASSERTION,MIT,Semantic version comparison,PERMISSIVE - OK,37
web-time,1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,Cross-platform time (web + native),PERMISSIVE - OK,37
foreign-types-shared,0.1.1,Rust,NOASSERTION,MIT OR Apache-2.0,Shared FFI type wrappers,PERMISSIVE - OK,36
minimal-lexical,0.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,Minimal float parsing,PERMISSIVE - OK,36
ring,0.17.14,Rust,NOASSERTION,ISC AND MIT AND OpenSSL,"Cryptographic operations (TLS, hashing, signing)",PERMISSIVE - OK,36
system-deps,6.2.2,Rust,NOASSERTION,MIT OR Apache-2.0,Declare native system library dependencies,PERMISSIVE - OK,36
untrusted,0.9.0,Rust,NOASSERTION,ISC,Safe handling of untrusted input,PERMISSIVE - OK,36
gio-sys,0.18.1,Rust,NOASSERTION,MIT,FFI bindings to GIO (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,35
glib-sys,0.18.1,Rust,NOASSERTION,MIT,FFI bindings to GLib (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,35
charset-normalizer,3.4.4,Python,NOASSERTION,MIT,Character encoding detection,PERMISSIVE - OK,34
foreign-types,0.3.2,Rust,NOASSERTION,MIT OR Apache-2.0,Safe wrappers for foreign types,PERMISSIVE - OK,34
requests,2.32.5,Python,NOASSERTION,Apache-2.0,HTTP library for Python,PERMISSIVE - OK,34
time,0.3.47,Rust,NOASSERTION,MIT OR Apache-2.0,Date and time library,PERMISSIVE - OK,34
bytemuck,1.25.0,Rust,NOASSERTION,Zlib OR MIT OR Apache-2.0,Safe transmutation of plain data types,PERMISSIVE - OK,33
gobject-sys,0.18.0,Rust,NOASSERTION,MIT,FFI bindings to GObject (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,33
rustc-hash,1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,Fast non-cryptographic hash (FxHash),PERMISSIVE - OK,33
glam,0.25.0,Rust,NOASSERTION,MIT OR Apache-2.0,"3D math library (vectors, matrices, quaternions)",PERMISSIVE - OK,32
ident_case,1.0.1,Rust,NOASSERTION,MIT OR Apache-2.0,Identifier case conversion,PERMISSIVE - OK,32
libredox,0.1.12,Rust,NOASSERTION,MIT,Redox OS library bindings,PERMISSIVE - OK,32
tokio-util,0.7.18,Rust,NOASSERTION,MIT,Utilities for working with Tokio,PERMISSIVE - OK,32
toml_parser,1.0.8+spec-1.1.0,Rust,NOASSERTION,MIT OR Apache-2.0,TOML file parser,PERMISSIVE - OK,32
crc32fast,1.5.0,Rust,NOASSERTION,MIT OR Apache-2.0,Fast CRC32 checksum computation,PERMISSIVE - OK,31
iana-time-zone-haiku,0.1.2,Rust,NOASSERTION,MIT OR Apache-2.0,Haiku OS timezone detection,PERMISSIVE - OK,31
fastrand,2.3.0,Rust,NOASSERTION,MIT OR Apache-2.0,Fast non-cryptographic random number generator,PERMISSIVE - OK,30
memoffset,0.9.1,Rust,NOASSERTION,MIT,Offset-of macro for struct fields,PERMISSIVE - OK,30
siphasher,0.3.11,Rust,NOASSERTION,MIT OR Apache-2.0,SipHash hashing algorithm,PERMISSIVE - OK,30
flate2,1.1.9,Rust,NOASSERTION,MIT OR Apache-2.0,DEFLATE/gzip/zlib compression,PERMISSIVE - OK,29
httparse,1.10.1,Rust,NOASSERTION,MIT OR Apache-2.0,Zero-copy HTTP/1.x parser,PERMISSIVE - OK,29
objc2-encode,4.0.3,Rust,NOASSERTION,MIT,Objective-C type encoding,PERMISSIVE - OK,29
filelock,3.25.0,Python,NOASSERTION,Unlicense,Platform-independent file locking,PERMISSIVE - OK,28
markupsafe,3.0.3,Python,NOASSERTION,BSD-3-Clause,HTML/XML safe string markup,PERMISSIVE - OK,28
num-bigint,0.4.6,Rust,NOASSERTION,MIT OR Apache-2.0,Arbitrary-precision integers,PERMISSIVE - OK,28
paste,1.0.15,Rust,NOASSERTION,MIT OR Apache-2.0,Macro for pasting identifiers together,PERMISSIVE - OK,28
portable-atomic,1.13.1,Rust,NOASSERTION,MIT OR Apache-2.0,Portable atomic operations,PERMISSIVE - OK,28
fsspec,2026.2.0,Python,NOASSERTION,BSD-3-Clause,Filesystem specification interface,PERMISSIVE - OK,27
phf,0.10.1,Rust,NOASSERTION,MIT,Compile-time perfect hash function maps,PERMISSIVE - OK,27
wasip3,0.4.0+wasi-0.3.0-rc-2026-01-06,Rust,NOASSERTION,Apache-2.0 WITH LLVM-exception,WASI Preview 3 API bindings,PERMISSIVE - OK,27
chrono,0.4.43,Rust,NOASSERTION,MIT OR Apache-2.0,Date and time library for Rust,PERMISSIVE - OK,26
convert_case,0.10.0,Rust,NOASSERTION,MIT,"Case conversion (camelCase, snake_case, etc.)",PERMISSIVE - OK,26
sha2,0.10.9,Rust,NOASSERTION,MIT OR Apache-2.0,"SHA-2 hash functions (SHA-256, SHA-512)",PERMISSIVE - OK,26
tqdm,4.67.3,Python,NOASSERTION,MIT OR MPL-2.0,Progress bar for loops and CLI,WEAK COPYLEFT (MPL) - file-level copyleft only,26
vcpkg,0.2.15,Rust,NOASSERTION,MIT OR Apache-2.0,Finds native deps installed via vcpkg,PERMISSIVE - OK,26
block2,0.5.1,Rust,NOASSERTION,MIT,Objective-C block support,PERMISSIVE - OK,25
bytemuck_derive,1.10.2,Rust,NOASSERTION,Zlib OR MIT OR Apache-2.0,Derive macros for bytemuck,PERMISSIVE - OK,25
home,0.5.12,Rust,NOASSERTION,MIT OR Apache-2.0,Home directory detection,PERMISSIVE - OK,25
ipnet,2.11.0,Rust,NOASSERTION,MIT OR Apache-2.0,IP network address types,PERMISSIVE - OK,25
objc-sys,0.3.5,Rust,NOASSERTION,MIT,Raw Objective-C runtime bindings,PERMISSIVE - OK,25
phf_codegen,0.10.0,Rust,NOASSERTION,MIT,Code generator for perfect hash maps,PERMISSIVE - OK,25
rustls,0.23.36,Rust,NOASSERTION,MIT OR Apache-2.0 OR ISC,Modern TLS library in pure Rust,PERMISSIVE - OK,25
rustls-webpki,0.103.9,Rust,NOASSERTION,ISC,WebPKI X.509 certificate verification,PERMISSIVE - OK,25
arrayvec,0.7.6,Rust,NOASSERTION,MIT OR Apache-2.0,Stack-allocated fixed-capacity vector,PERMISSIVE - OK,24
base64ct,1.8.3,Rust,NOASSERTION,MIT OR Apache-2.0,Constant-time base64 encoding,PERMISSIVE - OK,24
concurrent-queue,2.5.0,Rust,NOASSERTION,MIT OR Apache-2.0,Concurrent multi-producer multi-consumer queue,PERMISSIVE - OK,24
new_debug_unreachable,1.0.6,Rust,NOASSERTION,MIT,Debug-only unreachable! macro,PERMISSIVE - OK,24
objc2,0.5.2,Rust,NOASSERTION,MIT,Safe Objective-C interop for Rust,PERMISSIVE - OK,24
parking,2.2.1,Rust,NOASSERTION,MIT OR Apache-2.0,Thread parking primitive,PERMISSIVE - OK,24
proc-macro-error-attr,1.0.4,Rust,NOASSERTION,MIT OR Apache-2.0,Error reporting for proc-macros,PERMISSIVE - OK,24
unicode-segmentation,1.12.0,Rust,NOASSERTION,MIT OR Apache-2.0,Unicode text segmentation (grapheme clusters),PERMISSIVE - OK,24
colorama,0.4.6,Python,NOASSERTION,BSD-3-Clause,Cross-platform colored terminal output,PERMISSIVE - OK,23
pem-rfc7468,0.7.0,Rust,NOASSERTION,MIT OR Apache-2.0,PEM encoding (RFC 7468),PERMISSIVE - OK,23
proc-macro-error,1.0.4,Rust,NOASSERTION,MIT OR Apache-2.0,Better error reporting for proc-macros,PERMISSIVE - OK,23
sha1,0.10.6,Rust,NOASSERTION,MIT OR Apache-2.0,SHA-1 hash function,PERMISSIVE - OK,23
time-core,0.1.8,Rust,NOASSERTION,MIT OR Apache-2.0,Core time crate internals,PERMISSIVE - OK,23
tower-service,0.3.3,Rust,NOASSERTION,MIT,Trait for async request/response services,PERMISSIVE - OK,23
web-sys,0.3.85,Rust,NOASSERTION,MIT OR Apache-2.0,Bindings to Web APIs for WebAssembly,PERMISSIVE - OK,23
alloc-no-stdlib,2.0.4,Rust,NOASSERTION,BSD-3-Clause,Allocator interface without stdlib,PERMISSIVE - OK,22
cfg_aliases,0.2.1,Rust,NOASSERTION,MIT,Cfg alias convenience macro,PERMISSIVE - OK,22
der,0.7.10,Rust,NOASSERTION,MIT OR Apache-2.0,ASN.1 DER encoding/decoding,PERMISSIVE - OK,22
icu_locid,1.5.0,Rust,NOASSERTION,Unicode-3.0,Unicode locale identifiers (ICU4X),PERMISSIVE - OK,22
icu_provider_macros,1.5.0,Rust,NOASSERTION,Unicode-3.0,Data provider macros for ICU4X,PERMISSIVE - OK,22
jinja2,3.1.6,Python,NOASSERTION,BSD-3-Clause,Template engine for Python,PERMISSIVE - OK,22
objc2-foundation,0.2.2,Rust,NOASSERTION,MIT,Rust bindings to Apple Foundation framework,PERMISSIVE - OK,22
alloc-stdlib,0.2.2,Rust,NOASSERTION,BSD-3-Clause,Stdlib-based allocator wrapper,PERMISSIVE - OK,21
cexpr,0.6.0,Rust,NOASSERTION,MIT OR Apache-2.0,C expression parser for bindgen,PERMISSIVE - OK,21
clang-sys,1.8.1,Rust,NOASSERTION,Apache-2.0,Bindings to libclang,PERMISSIVE - OK,21
glib-macros,0.18.5,Rust,NOASSERTION,MIT,Proc-macros for GLib Rust bindings,PERMISSIVE - OK,21
glob,0.3.3,Rust,NOASSERTION,MIT OR Apache-2.0,File path glob pattern matching,PERMISSIVE - OK,21
hex,0.4.3,Rust,NOASSERTION,MIT OR Apache-2.0,Hexadecimal encoding/decoding,PERMISSIVE - OK,21
icu_locid_transform_data,1.5.0,Rust,NOASSERTION,Unicode-3.0,Locale transform data for ICU4X,PERMISSIVE - OK,21
spki,0.7.3,Rust,NOASSERTION,MIT OR Apache-2.0,X.509 SubjectPublicKeyInfo types,PERMISSIVE - OK,21
wasm-bindgen-backend,0.2.99,Rust,NOASSERTION,MIT OR Apache-2.0,Backend for wasm-bindgen code gen,PERMISSIVE - OK,21
atomic-waker,1.1.2,Rust,NOASSERTION,MIT OR Apache-2.0,Atomic waker for async notification,PERMISSIVE - OK,20
cairo-sys-rs,0.18.2,Rust,NOASSERTION,MIT,FFI bindings to Cairo (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,20
gdk-pixbuf-sys,0.18.0,Rust,NOASSERTION,MIT,FFI bindings to GdkPixbuf (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,20
glib,0.18.5,Rust,NOASSERTION,MIT,Safe Rust bindings for GLib (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,20
icu_locid_transform,1.5.0,Rust,NOASSERTION,Unicode-3.0,Locale canonicalization for ICU4X,PERMISSIVE - OK,20
jni-sys,0.3.0,Rust,NOASSERTION,MIT OR Apache-2.0,JNI FFI type definitions,PERMISSIVE - OK,20
malloc_buf,0.0.6,Rust,NOASSERTION,MIT,Buffer backed by malloc/free,PERMISSIVE - OK,20
num-rational,0.4.2,Rust,NOASSERTION,MIT OR Apache-2.0,Rational number type,PERMISSIVE - OK,20
pango-sys,0.18.0,Rust,NOASSERTION,MIT,FFI bindings to Pango (links LGPL C library),PERMISSIVE binding to LGPL C library - OK if dynamically linked,20
pkcs8,0.10.2,Rust,NOASSERTION,MIT OR Apache-2.0,PKCS#8 private key format,PERMISSIVE - OK,20
serde_urlencoded,0.7.1,Rust,NOASSERTION,MIT OR Apache-2.0,URL query string serialization,PERMISSIVE - OK,20
block,0.1.6,Rust,NOASSERTION,MIT,Objective-C block FFI support,PERMISSIVE - OK,19
core-graphics-types,0.2.0,Rust,NOASSERTION,MIT OR Apache-2.0,Core Graphics type definitions,PERMISSIVE - OK,19
h2,0.3.27,Rust,NOASSERTION,MIT,HTTP/2 protocol implementation,PERMISSIVE - OK,19
http-body,1.0.1,Rust,NOASSERTION,MIT,Trait for HTTP request/response bodies,PERMISSIVE - OK,19
